doc,a_sent_id,a_speaker,a_text,a_sound_url,b_sent_id,b_speaker,b_text,b_sound_url,len,b_root_upos,b_root_form,orphan_tail,a_continues,a_is_question,b_first_token,b_starts_backchannel_like,b_has_question_mark,b_root_is_intj_part,is_coconstruction,coconstruct_deprel,governor_token_id,notes
Gos264,Gos264.s92,Tm-prij-01081,"[name:personal] pa [name:personal] sta šla stran , ko nista m-",https://nl.ijs.si/project/gos20/Gos264/Gos264.s92.mp3,Gos264.s93,Bf-prij-01082,zakaj ?,https://nl.ijs.si/project/gos20/Gos264/Gos264.s93.mp3,1,ADV,zakaj,1,1,0,zakaj,0,1,0,,,,
Gos020,Gos020.s396,Jm-ucen-01064,"ja , pač , tam v delovnih so mogli delati na primer za",https://nl.ijs.si/project/gos20/Gos020/Gos020.s396.mp3,Gos020.s398,Mf-prof-01061,"zakaj , ja ?",https://nl.ijs.si/project/gos20/Gos020/Gos020.s398.mp3,2,ADV,zakaj,1,1,0,zakaj,0,1,0,,,,
Gos058,Gos058.s319,Am-prof-02300,če pa številke odšteješ,https://nl.ijs.si/project/gos20/Gos058/Gos058.s319.mp3,Gos058.s321,Lm-ucen-02311,minus ena .,https://nl.ijs.si/project/gos20/Gos058/Gos058.s321.mp3,2,NOUN,minus,0,1,0,minus,0,0,0,,,,
Gos074,Gos074.s292,Pm-gost-02549,"nekako od naše vlade pričakovali , da",https://nl.ijs.si/project/gos20/Gos074/Gos074.s292.mp3,Gos074.s293,Am-novi-02535,"dobro , ampak",https://nl.ijs.si/project/gos20/Gos074/Gos074.s293.mp3,2,ADV,dobro,0,1,0,dobro,1,0,0,,,,
Gos159,Gos159.s578,Sm-novi-02049,"aha , kako pa",https://nl.ijs.si/project/gos20/Gos159/Gos159.s578.mp3,Gos159.s579,Om-gost-06560,a štekamo ?,https://nl.ijs.si/project/gos20/Gos159/Gos159.s579.mp3,2,VERB,štekamo,1,1,0,a,1,1,0,,,,
Gos159,Gos159.s624,Sm-novi-02049,a veš,https://nl.ijs.si/project/gos20/Gos159/Gos159.s624.mp3,Gos159.s625,Gm-novi-02048,samo to .,https://nl.ijs.si/project/gos20/Gos159/Gos159.s625.mp3,2,DET,to,0,1,0,samo,0,0,0,,,,
Gos181,Gos181.s414,Af-udel-02552,izgleda pač,https://nl.ijs.si/project/gos20/Gos181/Gos181.s414.mp3,Gos181.s415,Cf-udel-02554,strokovni aktiv .,https://nl.ijs.si/project/gos20/Gos181/Gos181.s415.mp3,2,NOUN,aktiv,0,1,0,strokovni,0,0,0,,,,
Gos182,Gos182.s187,Af-stra-02238,"jo , pa , ej , sploh ne vem , a so se pogledal oni , mislim , na teh slikah , ker",https://nl.ijs.si/project/gos20/Gos182/Gos182.s187.mp3,Gos182.s188,Bf-prod-02264,najbrž ne .,https://nl.ijs.si/project/gos20/Gos182/Gos182.s188.mp3,2,PART,ne,0,1,0,najbrž,0,0,1,,,,
Gos182,Gos182.s213,Bf-prod-02264,"je rekla , ja , prosim , meni je bilo tako všeč , meni je bilo tako",https://nl.ijs.si/project/gos20/Gos182/Gos182.s213.mp3,Gos182.s214,Af-stra-02238,"o , super .",https://nl.ijs.si/project/gos20/Gos182/Gos182.s214.mp3,2,ADJ,super,0,1,0,o,0,0,0,,,,
Gos190,Gos190.s165,Cf-stra-02265,"ker jaz sem , ej , zdaj pa še mi samo povej , jaz imam družinsko srečo , saj veš , že",https://nl.ijs.si/project/gos20/Gos190/Gos190.s165.mp3,Gos190.s167,Af-stra-02276,par let .,https://nl.ijs.si/project/gos20/Gos190/Gos190.s167.mp3,2,NOUN,let,0,1,0,par,0,0,0,,,,
Gos200,Gos200.s82,Bm-klic-02237,to se pravi tudi,https://nl.ijs.si/project/gos20/Gos200/Gos200.s82.mp3,Gos200.s83,Af-info-05596,dejansko zato,https://nl.ijs.si/project/gos20/Gos200/Gos200.s83.mp3,2,ADV,zato,0,1,0,dejansko,0,0,0,,,,
Gos200,Gos200.s83,Af-info-05596,dejansko zato,https://nl.ijs.si/project/gos20/Gos200/Gos200.s83.mp3,Gos200.s84,Bm-klic-02237,"aha , tudi .",https://nl.ijs.si/project/gos20/Gos200/Gos200.s84.mp3,2,PART,tudi,0,1,0,aha,1,0,1,,,,
Gos229,Gos229.s359,Ef-ssta-06566,a to,https://nl.ijs.si/project/gos20/Gos229/Gos229.s359.mp3,Gos229.s360,Lf-otro-06567,a veš .,https://nl.ijs.si/project/gos20/Gos229/Gos229.s360.mp3,2,VERB,veš,1,0,0,a,1,0,0,,,,
Gos233,Gos233.s384,Tm-otro-03016,"ker imaš dosti , dosti boljše , ker",https://nl.ijs.si/project/gos20/Gos233/Gos233.s384.mp3,Gos233.s385,Bm-star-03014,more biti,https://nl.ijs.si/project/gos20/Gos233/Gos233.s385.mp3,2,VERB,more,0,1,0,more,0,0,0,,,,
Gos233,Gos233.s388,Tm-otro-03016,"ja , pa",https://nl.ijs.si/project/gos20/Gos233/Gos233.s388.mp3,Gos233.s389,Bm-star-03014,more pobirati .,https://nl.ijs.si/project/gos20/Gos233/Gos233.s389.mp3,2,VERB,more,0,0,0,more,0,0,0,,,,
Gos233,Gos233.s441,Bm-star-03014,in taisti stane v trgovini,https://nl.ijs.si/project/gos20/Gos233/Gos233.s441.mp3,Gos233.s442,Tm-otro-03016,devetsto evrov .,https://nl.ijs.si/project/gos20/Gos233/Gos233.s442.mp3,2,NOUN,evrov,0,1,0,devetsto,0,0,0,,,,
Gos254,Gos254.s600,If-prij-06008,"ja , to že pomeni",https://nl.ijs.si/project/gos20/Gos254/Gos254.s600.mp3,Gos254.s601,Mm-prij-06007,kar nekaj .,https://nl.ijs.si/project/gos20/Gos254/Gos254.s601.mp3,2,DET,nekaj,0,1,0,kar,0,0,0,,,,
Gos254,Gos254.s691,Dm-prij-06009,"ustaške skupine , nekaj so hoteli z",https://nl.ijs.si/project/gos20/Gos254/Gos254.s691.mp3,Gos254.s692,If-prij-06008,je preživela .,https://nl.ijs.si/project/gos20/Gos254/Gos254.s692.mp3,2,VERB,preživela,1,1,0,je,0,0,0,,,,
Gos256,Gos256.s82,Af-sode-07098,"a pol jih kar bilo , pol se to kar",https://nl.ijs.si/project/gos20/Gos256/Gos256.s82.mp3,Gos256.s83,Bf-sode-07099,"da , da .",https://nl.ijs.si/project/gos20/Gos256/Gos256.s83.mp3,2,PART,da,1,0,0,da,0,0,1,,,,
Gos278,Gos278.s280,Bf-prij-09525,tako da,https://nl.ijs.si/project/gos20/Gos278/Gos278.s280.mp3,Gos278.s281,Df-prij-09526,a res ?,https://nl.ijs.si/project/gos20/Gos278/Gos278.s281.mp3,2,ADV,res,0,0,0,a,1,1,0,,,,
Gos280,Gos280.s45,Af-soro-09512,veš,https://nl.ijs.si/project/gos20/Gos280/Gos280.s45.mp3,Gos280.s46,Mf-soro-09513,"res , krasen .",https://nl.ijs.si/project/gos20/Gos280/Gos280.s46.mp3,2,ADV,res,0,1,0,res,1,0,0,,,,
Artur-J-Gvecg-P580002,Artur-J-Gvecg-P580002.s45_reseg.536,Artur-J-G4529,na takšen način ste verjetno že prej delovali oziroma greste v tej smeri,https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580002.s45.mp3,Artur-J-Gvecg-P580002.s46_reseg.537,Artur-J-G4528,tako je .,https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580002.s46.mp3,2,VERB,je,0,0,0,tako,1,0,0,,,,
Gos176,Gos176.s792,Am-udel-02284,"čakaj , ampak to junijsko je nekako",https://nl.ijs.si/project/gos20/Gos176/Gos176.s792.mp3,Gos176.s793,Hm-udel-02291,to je skupno .,https://nl.ijs.si/project/gos20/Gos176/Gos176.s793.mp3,3,ADJ,skupno,0,1,0,to,0,0,0,,,,
Gos017,Gos017.s284,Rm-ucen-07121,"eee , štiri sem imel še vedno , samo pol je bilo pač",https://nl.ijs.si/project/gos20/Gos017/Gos017.s284.mp3,Gos017.s285,Af-prof-07104,bolj trdno štiri .,https://nl.ijs.si/project/gos20/Gos017/Gos017.s285.mp3,3,NUM,štiri,0,0,0,bolj,0,0,0,,,,
Gos074,Gos074.s284,Qm-gost-02550,"no , o tem smo imeli dve oddaji , pa se ne",https://nl.ijs.si/project/gos20/Gos074/Gos074.s284.mp3,Gos074.s285,Pm-gost-02549,"tako , kot so",https://nl.ijs.si/project/gos20/Gos074/Gos074.s285.mp3,3,ADV,tako,1,1,0,tako,1,0,0,,,,
Gos159,Gos159.s600,Gm-novi-02048,"eee , v bistvu",https://nl.ijs.si/project/gos20/Gos159/Gos159.s600.mp3,Gos159.s601,Sm-novi-02049,zlorabil si čko .,https://nl.ijs.si/project/gos20/Gos159/Gos159.s601.mp3,3,VERB,zlorabil,0,1,0,zlorabil,0,0,0,,,,
Gos200,Gos200.s115,Af-info-05596,"eee , ja , eee , veste kaj , pa tudi najbrž ste gor prebrali , da , eem , je določen rok , mislim , da štirinajst dni",https://nl.ijs.si/project/gos20/Gos200/Gos200.s115.mp3,Gos200.s116,Bm-klic-02237,"aha , v katerem",https://nl.ijs.si/project/gos20/Gos200/Gos200.s116.mp3,3,DET,katerem,0,1,0,aha,1,0,0,,,,
Gos225,Gos225.s354,Cm-prij-02347,"ne , ne , samo tako je bilo hecno , ko",https://nl.ijs.si/project/gos20/Gos225/Gos225.s354.mp3,Gos225.s355,Hf-prij-02352,pa če imam .,https://nl.ijs.si/project/gos20/Gos225/Gos225.s355.mp3,3,VERB,imam,0,0,0,pa,0,0,0,,,,
Gos233,Gos233.s357,Tm-otro-03016,"kosilnico , zdaj , ali bomo imeli to od [name:personal] ali",https://nl.ijs.si/project/gos20/Gos233/Gos233.s357.mp3,Gos233.s358,Bm-star-03014,"ja , ta [name:personal] .",https://nl.ijs.si/project/gos20/Gos233/Gos233.s358.mp3,3,PROPN,[name:personal],0,1,0,ja,1,0,0,,,,
Gos233,Gos233.s400,Tm-otro-03016,"ja , čakaj malo , glejta , a veš , koliko ti v",https://nl.ijs.si/project/gos20/Gos233/Gos233.s400.mp3,Gos233.s401,Bm-star-03014,"ne , ne [name:organisation] .",https://nl.ijs.si/project/gos20/Gos233/Gos233.s401.mp3,3,PROPN,[name:organisation],1,1,0,ne,0,0,0,,,,
Gos244,Gos244.s406,Sm-prij-09517,čez,https://nl.ijs.si/project/gos20/Gos244/Gos244.s406.mp3,Gos244.s407,Mm-prij-09518,iz česa pa ?,https://nl.ijs.si/project/gos20/Gos244/Gos244.s407.mp3,3,PRON,česa,0,1,0,iz,0,1,0,,,,
Gos254,Gos254.s647,Dm-prij-06009,"pa lase si tako z blatom skupaj z- , z- , z- , kaj imajo to , kodre ali",https://nl.ijs.si/project/gos20/Gos254/Gos254.s647.mp3,Gos254.s648,If-prij-06008,"aja , one drede .",https://nl.ijs.si/project/gos20/Gos254/Gos254.s648.mp3,3,NOUN,drede,0,0,0,aja,1,0,0,,,,
Gos283,Gos283.s254,Mm-prij-06005,"ja , seveda , ne , včasih pa sem len , ka sem tako len , ka se mi nič ne da , ka res sem",https://nl.ijs.si/project/gos20/Gos283/Gos283.s254.mp3,Gos283.s255,Nm-prij-06006,"to , to je .",https://nl.ijs.si/project/gos20/Gos283/Gos283.s255.mp3,3,VERB,je,0,1,0,to,0,0,0,,,,
Gos179,Gos179.s161,Bm-sode-05588,pa,https://nl.ijs.si/project/gos20/Gos179/Gos179.s161.mp3,Gos179.s162,Af-sode-05584,to so lastniki Dnevnik .,https://nl.ijs.si/project/gos20/Gos179/Gos179.s162.mp3,4,NOUN,lastniki,0,1,0,to,0,0,0,,,,
Gos009,Gos009.s225,Tf-stud-06580,"nisem ga iskala , ampak sem srečala v tečaj slovenščine na začetku , eem , sem srečala moj z- zdaj- , eee , moj",https://nl.ijs.si/project/gos20/Gos009/Gos009.s225.mp3,Gos009.s227,Af-prof-06578,"mojo cimro , mojega cimra .",https://nl.ijs.si/project/gos20/Gos009/Gos009.s227.mp3,4,NOUN,cimra,0,1,0,mojo,0,0,0,,,,
Gos011,Gos011.s229,Mf-prof-09033,"ne , ker on tukaj ni uporabljal gradbeni material , on si tega ni",https://nl.ijs.si/project/gos20/Gos011/Gos011.s229.mp3,Gos011.s230,Am-ucen-09034,on je samo iskal .,https://nl.ijs.si/project/gos20/Gos011/Gos011.s230.mp3,4,VERB,iskal,0,1,0,on,0,0,0,,,,
Gos060,Gos060.s621,Bf-ucen-02205,"da je to , mislim , a",https://nl.ijs.si/project/gos20/Gos060/Gos060.s621.mp3,Gos060.s622,Cf-ucen-02206,r je a krat,https://nl.ijs.si/project/gos20/Gos060/Gos060.s622.mp3,4,NOUN,a,0,0,0,r,0,0,0,,,,
Gos159,Gos159.s592,Sm-novi-02049,"ja , nočemo vedeti , čka od človeka je tudi",https://nl.ijs.si/project/gos20/Gos159/Gos159.s592.mp3,Gos159.s593,Om-gost-06560,"ja , ja , ja , saj .",https://nl.ijs.si/project/gos20/Gos159/Gos159.s593.mp3,4,CCONJ,saj,0,0,0,ja,1,0,0,,,,
Gos190,Gos190.s97,Bf-prod-02277,"te pa mi , to je",https://nl.ijs.si/project/gos20/Gos190/Gos190.s97.mp3,Gos190.s98,Af-stra-02276,za zunaj lahko date .,https://nl.ijs.si/project/gos20/Gos190/Gos190.s98.mp3,4,VERB,date,0,0,0,za,0,0,0,,,,
Gos224,Gos224.s88,Af-prij-07190,"ja , no , saj tisti",https://nl.ijs.si/project/gos20/Gos224/Gos224.s88.mp3,Gos224.s89,Bf-prij-07191,[name:personal] [name:surname] je bila .,https://nl.ijs.si/project/gos20/Gos224/Gos224.s89.mp3,4,VERB,bila,0,1,0,name:personal,0,0,0,,,,
Gos225,Gos225.s357,Cm-prij-02347,če si ti v kozarec,https://nl.ijs.si/project/gos20/Gos225/Gos225.s357.mp3,Gos225.s358,Am-prij-02345,"ja , stari , na tabletah .",https://nl.ijs.si/project/gos20/Gos225/Gos225.s358.mp3,4,NOUN,tabletah,0,0,0,ja,1,0,0,,,,
Gos254,Gos254.s591,If-prij-06008,to je,https://nl.ijs.si/project/gos20/Gos254/Gos254.s591.mp3,Gos254.s592,Mm-prij-06007,ne še prste kazal .,https://nl.ijs.si/project/gos20/Gos254/Gos254.s592.mp3,4,VERB,kazal,0,1,0,ne,0,0,0,,,,
Gos257,Gos257.s153,Af-prij-07149,"drugače , drugače so pa v glavnem",https://nl.ijs.si/project/gos20/Gos257/Gos257.s153.mp3,Gos257.s154,Cf-prij-07151,"aja , to so tile .",https://nl.ijs.si/project/gos20/Gos257/Gos257.s154.mp3,4,DET,tile,0,0,0,aja,1,0,0,,,,
Gos280,Gos280.s20,Mf-soro-09513,"a veš , in sem pozabila , enostavno , tisti",https://nl.ijs.si/project/gos20/Gos280/Gos280.s20.mp3,Gos280.s21,Af-soro-09512,"ja , saj veš , da .",https://nl.ijs.si/project/gos20/Gos280/Gos280.s21.mp3,4,VERB,veš,0,0,0,ja,1,0,0,,,,
Gos060,Gos060.s622,Cf-ucen-02206,r je a krat,https://nl.ijs.si/project/gos20/Gos060/Gos060.s622.mp3,Gos060.s623,Af-prof-02204,"ja , lahko tako razmišljamo , ja .",https://nl.ijs.si/project/gos20/Gos060/Gos060.s623.mp3,5,VERB,razmišljamo,0,0,0,ja,1,0,0,,,,
Gos074,Gos074.s290,Pm-gost-02549,"tako , kot so ljudje",https://nl.ijs.si/project/gos20/Gos074/Gos074.s290.mp3,Gos074.s291,Am-novi-02535,"ja , pa ima gospod , ja .",https://nl.ijs.si/project/gos20/Gos074/Gos074.s291.mp3,5,VERB,ima,0,1,0,ja,1,0,0,,,,
Gos159,Gos159.s614,Sm-novi-02049,"na televiziji , da greš to reč",https://nl.ijs.si/project/gos20/Gos159/Gos159.s614.mp3,Gos159.s615,Gm-novi-02048,kakšen človek mora to biti .,https://nl.ijs.si/project/gos20/Gos159/Gos159.s615.mp3,5,VERB,mora,0,0,0,kakšen,0,0,0,,,,
Gos181,Gos181.s466,Af-udel-02552,"izbrati moram , mi smo zdaj v bistvu naredile",https://nl.ijs.si/project/gos20/Gos181/Gos181.s466.mp3,Gos181.s467,Cf-udel-02554,"ja , če jih razdelaš , ne .",https://nl.ijs.si/project/gos20/Gos181/Gos181.s467.mp3,5,VERB,razdelaš,0,0,0,ja,1,0,0,,,,
Gos181,Gos181.s474,Af-udel-02552,"vam pokažem , kaj pa boste povedale , saj do sedemindvajsetega bo še čas , da se še k-",https://nl.ijs.si/project/gos20/Gos181/Gos181.s474.mp3,Gos181.s475,Cf-udel-02554,"ja , tebi prepustimo , ti zaupamo .",https://nl.ijs.si/project/gos20/Gos181/Gos181.s475.mp3,5,VERB,prepustimo,1,1,0,ja,1,0,0,,,,
Gos246,Gos246.s352,Am-soro-07522,in da še vedno,https://nl.ijs.si/project/gos20/Gos246/Gos246.s352.mp3,Gos246.s353,Mm-star-07523,"p- , pozna še to , ja .",https://nl.ijs.si/project/gos20/Gos246/Gos246.s353.mp3,5,VERB,pozna,1,1,0,p-,0,0,0,,,,
Gos253,Gos253.s92,Am-prij-02280,"ja , dober jabolčnik je iz",https://nl.ijs.si/project/gos20/Gos253/Gos253.s92.mp3,Gos253.s94,Cm-prij-02282,"samo ni tukla , ni jabolčnik .",https://nl.ijs.si/project/gos20/Gos253/Gos253.s94.mp3,5,NOUN,tukla,1,0,0,samo,0,0,0,,,,
Gos254,Gos254.s612,If-prij-06008,ali pa boš,https://nl.ijs.si/project/gos20/Gos254/Gos254.s612.mp3,Gos254.s614,Dm-prij-06009,"ah , to je tudi kurac .",https://nl.ijs.si/project/gos20/Gos254/Gos254.s614.mp3,5,NOUN,kurac,0,0,0,ah,1,0,0,,,,
Gos254,Gos254.s615,Dm-prij-06009,"podpišeš , potem pa",https://nl.ijs.si/project/gos20/Gos254/Gos254.s615.mp3,Gos254.s616,Mm-prij-06007,"potem pa se zgodi , ne .",https://nl.ijs.si/project/gos20/Gos254/Gos254.s616.mp3,5,VERB,zgodi,1,0,0,potem,0,0,0,,,,
Gos268,Gos268.s285,Tf-prij-06001,"saj se tvoj , ne",https://nl.ijs.si/project/gos20/Gos268/Gos268.s285.mp3,Gos268.s287,Vf-prij-06002,ni mi šel na živce .,https://nl.ijs.si/project/gos20/Gos268/Gos268.s287.mp3,5,VERB,šel,1,1,0,ni,0,0,0,,,,
Artur-J-Gvecg-P580003,Artur-J-Gvecg-P580003.s9-s11_reseg.556.0,Artur-J-G4531,"Klinči , živjo",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580003.s9-s11.mp3,Artur-J-Gvecg-P580003.s9-s11_reseg.556.1,Artur-J-G4530,lep pozdrav na Štajerski val,https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580003.s9-s11.mp3,5,NOUN,pozdrav,0,1,0,lep,0,0,0,,,,
Artur-J-Gvecg-P580041,Artur-J-Gvecg-P580041.s5-s6_reseg.687,Artur-J-G4531,"danes je največji krščanski praznik , kako se ga spominjate , ko še niste bili v vlogi duhovnika",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580041.s5-s6.mp3,Artur-J-Gvecg-P580041.s56_reseg.720,Artur-J-G4521,mogel sem najprej popravca narediti .,https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580041.s56.mp3,5,VERB,mogel,0,1,0,mogel,0,0,0,,,,
Gos074,Gos074.s285,Pm-gost-02549,"tako , kot so",https://nl.ijs.si/project/gos20/Gos074/Gos074.s285.mp3,Gos074.s286,Qm-gost-02550,"mislim , da ni treba zgubljati besed .",https://nl.ijs.si/project/gos20/Gos074/Gos074.s286.mp3,6,VERB,mislim,0,0,0,mislim,0,0,0,,,,
Gos130,Gos130.s157,Bm-novi-06519,"ker sem imel občutek , da me je poslušala včeraj zjutraj , ker je imela iste vremenske pregovore kot jaz v včerajšnji jutranji vremenski napovedi , ja , ja ,",https://nl.ijs.si/project/gos20/Gos130/Gos130.s157.mp3,Gos130.s158,Af-novi-06518,"to je pa dober občutek , ja .",https://nl.ijs.si/project/gos20/Gos130/Gos130.s158.mp3,6,NOUN,občutek,0,1,0,to,0,0,0,,,,
Gos145,Gos145.s211,Dm-mode-01017,"no , pol pa še zemljepisno dolžino in širino povej , če",https://nl.ijs.si/project/gos20/Gos145/Gos145.s211.mp3,Gos145.s212,Mm-posl-01032,"o , to pa ne bo šlo .",https://nl.ijs.si/project/gos20/Gos145/Gos145.s212.mp3,6,VERB,šlo,0,1,0,o,0,0,0,,,,
Gos244,Gos244.s401,Sm-prij-09517,"ja , klinc , zdaj sem pa v , tam , v",https://nl.ijs.si/project/gos20/Gos244/Gos244.s401.mp3,Gos244.s402,Mm-prij-09518,kaj na faks greš ti zdaj ?,https://nl.ijs.si/project/gos20/Gos244/Gos244.s402.mp3,6,VERB,greš,1,1,0,kaj,1,1,0,,,,
Gos254,Gos254.s675,If-prij-06008,"ta starejša je , ona edina",https://nl.ijs.si/project/gos20/Gos254/Gos254.s675.mp3,Gos254.s676,Mm-prij-06007,"j bo te , to se zgodi .",https://nl.ijs.si/project/gos20/Gos254/Gos254.s676.mp3,6,VERB,bo,0,1,0,j,0,0,0,,,,
Gos268,Gos268.s252,Tf-prij-06001,"ja , cocacola jih ima pa",https://nl.ijs.si/project/gos20/Gos268/Gos268.s252.mp3,Gos268.s253,Vf-prij-06002,"ja , ona jih tudi nima veliko .",https://nl.ijs.si/project/gos20/Gos268/Gos268.s253.mp3,6,VERB,nima,0,1,0,ja,1,0,0,,,,
Artur-J-Gvecg-P580047,Artur-J-Gvecg-P580047.s51_reseg.777,Artur-J-G4529,"je vaše študijsko bivanje v Bruslju bilo odločilno , da so vas vaši takratni nadrejeni poslali za dopisnico v Bruselj",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580047.s51.mp3,Artur-J-Gvecg-P580047.s52_reseg.778,Artur-J-G4586,"ne , pravzaprav je bilo ravno nasprotno .",https://nl.ijs.si/project/iriss/Artur-J-Gvecg-P580047.s52.mp3,6,ADJ,nasprotno,0,0,0,ne,0,0,0,,,,
Gos073,Gos073.s379,Lm-gost-02115,naj se,https://nl.ijs.si/project/gos20/Gos073/Gos073.s379.mp3,Gos073.s380,Hm-gost-03510,"če bo potrebno , ne glede za ceno .",https://nl.ijs.si/project/gos20/Gos073/Gos073.s380.mp3,7,ADV,potrebno,1,0,0,če,0,0,0,,,,
Gos159,Gos159.s616,Gm-novi-02048,"midva nisva direktorja , a veš , eee , nisva igralca , naju , naju noben",https://nl.ijs.si/project/gos20/Gos159/Gos159.s616.mp3,Gos159.s617,Om-gost-06560,"a , a lahko še enkrat tole , no ?",https://nl.ijs.si/project/gos20/Gos159/Gos159.s617.mp3,7,DET,tole,1,0,0,a,1,1,0,,,,
Gos159,Gos159.s648,Gm-novi-02048,"ker ima , kar koli naredi , a veste , ko , ko , ko",https://nl.ijs.si/project/gos20/Gos159/Gos159.s648.mp3,Gos159.s649,Om-gost-06560,"čakaj , kaj pa takole , kaj pa tako ?",https://nl.ijs.si/project/gos20/Gos159/Gos159.s649.mp3,7,VERB,čakaj,0,0,0,čakaj,0,1,0,,,,
Gos233,Gos233.s364,Tm-otro-03016,"ne , ta naša samohodka je kriza , ker",https://nl.ijs.si/project/gos20/Gos233/Gos233.s364.mp3,Gos233.s366,Bm-star-03014,"vse raztepe pa razm- , ostane na tleh .",https://nl.ijs.si/project/gos20/Gos233/Gos233.s366.mp3,7,VERB,raztepe,0,1,0,vse,0,0,0,,,,
Gos257,Gos257.s132,Af-prij-07149,"stanovanja so pa , eee , si , si pogledal kaj na internetu , tako kakor so",https://nl.ijs.si/project/gos20/Gos257/Gos257.s132.mp3,Gos257.s133,Bm-prij-07150,"nisem , eee , tisto , pogledal sem glih tole .",https://nl.ijs.si/project/gos20/Gos257/Gos257.s133.mp3,7,VERB,nisem,0,1,0,nisem,0,0,0,,,,
