doc,A_sent_id,A_speaker,A_text,A_sound_url,A_tokens,A_pos_tags,B_sent_id,B_speaker,B_text,B_sound_url,B_tokens,B_pos_tags,B_token_count,B_has_verbal_bc,B_all_in_lexicon,first_token_form,first_token_lemma,first_token_upos,first_token_deprel,backchannel_type,A_is_question,A_continues,warnings,keep?
Gos073,Gos073.s386,Hm-gost-03510,"vsakemu predsedniku vlade ali v Nemčiji ali Franciji ali v Avstriji ali na Madžarskem , kjer koli , za tako p- močna podjetja , ki so v državi , se usedejo za mizo .",https://nl.ijs.si/project/gos20/Gos073/Gos073.s386.mp3,vsakemu predsedniku vlade ali v Nemčiji ali Franciji ali v Avstriji ali na Madžarskem kjer koli za tako p- močna podjetja ki so v državi se usedejo za mizo,DET NOUN NOUN CCONJ ADP PROPN CCONJ PROPN CCONJ ADP PROPN CCONJ ADP PROPN ADV PART ADP ADV X ADJ NOUN SCONJ VERB ADP NOUN PRON VERB ADP NOUN,Gos073.s387,Am-novi-02535,mhm .,https://nl.ijs.si/project/gos20/Gos073/Gos073.s387.mp3,mhm,INTJ,1,0,1,mhm,mhm,INTJ,root,continuer,0,1,a_continues,
Gos073,Gos073.s388,Hm-gost-03510,"in pričakujemo od gospoda Pahorja , da si bo vzel čas in obadva akterja ali pa gospoda [name:personal] [name:surname] poklical in poskušal najti en dialog .",https://nl.ijs.si/project/gos20/Gos073/Gos073.s388.mp3,in pričakujemo od gospoda Pahorja da si bo vzel čas in obadva akterja ali pa gospoda [name:personal] [name:surname] poklical in poskušal najti en dialog,CCONJ VERB ADP NOUN PROPN SCONJ PRON AUX VERB NOUN CCONJ DET NOUN CCONJ CCONJ NOUN PROPN PROPN VERB CCONJ VERB VERB DET NOUN,Gos073.s389,Am-novi-02535,mhm .,https://nl.ijs.si/project/gos20/Gos073/Gos073.s389.mp3,mhm,INTJ,1,0,1,mhm,mhm,INTJ,root,continuer,0,1,a_continues,
Gos141,Gos141.s333,Cf-novi-02068,"jaz pa zdaj tule gledam eno položnico in mi je prav zanimivo , prizidek si želi [name:personal] pa me zanima , če zato , da se loči od tašče .",https://nl.ijs.si/project/gos20/Gos141/Gos141.s333.mp3,jaz pa zdaj tule gledam eno položnico in mi je prav zanimivo prizidek si želi [name:personal] pa me zanima če zato da se loči od tašče,PRON CCONJ ADV ADV VERB DET NOUN CCONJ PRON AUX PART ADJ NOUN PRON VERB PROPN CCONJ PRON VERB SCONJ ADV SCONJ PRON VERB ADP NOUN,Gos141.s334,Am-novi-02066,mhm .,https://nl.ijs.si/project/gos20/Gos141/Gos141.s334.mp3,mhm,INTJ,1,0,1,mhm,mhm,INTJ,root,continuer,0,1,a_continues,
Gos141,Gos141.s338,Cf-novi-02068,"sem zbudila , [name:personal] ?",https://nl.ijs.si/project/gos20/Gos141/Gos141.s338.mp3,sem zbudila [name:personal],AUX VERB PROPN,Gos141.s339,Kf-posl-02076,"ja , malce .",https://nl.ijs.si/project/gos20/Gos141/Gos141.s339.mp3,ja malce,PART DET,2,0,0,ja,ja,PART,discourse,responsive,1,1,a_is_question; not_all_in_lexicon; a_continues,
Gos141,Gos141.s342,Cf-novi-02068,a ni treba v službo ?,https://nl.ijs.si/project/gos20/Gos141/Gos141.s342.mp3,a ni treba v službo,ADV VERB ADV ADP NOUN,Gos141.s343,Kf-posl-02076,"a , je , je , treba , treba .",https://nl.ijs.si/project/gos20/Gos141/Gos141.s343.mp3,a je je treba treba,INTJ VERB VERB ADV ADV,5,0,0,a,a,INTJ,discourse,surprise,1,1,a_is_question; not_all_in_lexicon; a_continues,
Gos141,Gos141.s344,Cf-novi-02068,"samo kasneje verjetno , ne ?",https://nl.ijs.si/project/gos20/Gos141/Gos141.s344.mp3,samo kasneje verjetno ne,PART ADV ADV PART,Gos141.s345,Kf-posl-02076,"ja , ja , majčkeno kasneje , ja , ja , kar , kar .",https://nl.ijs.si/project/gos20/Gos141/Gos141.s345.mp3,ja ja majčkeno kasneje ja ja kar kar,PART PART ADV ADV PART PART ADV ADV,8,0,0,ja,ja,PART,discourse,responsive,1,1,a_is_question; not_all_in_lexicon; a_continues,
Gos141,Gos141.s347,Cf-novi-02068,"tri tisoč sedemsto dvajset evrov piše , in sicer , eee , to je račun za izdelavo projekta za prizidek k stanovanjski hiši .",https://nl.ijs.si/project/gos20/Gos141/Gos141.s347.mp3,tri tisoč sedemsto dvajset evrov piše in sicer eee to je račun za izdelavo projekta za prizidek k stanovanjski hiši,NUM NUM NUM NUM NOUN VERB CCONJ CCONJ INTJ DET AUX NOUN ADP NOUN NOUN ADP NOUN ADP ADJ NOUN,Gos141.s348,Kf-posl-02076,"ja , ja , ja .",https://nl.ijs.si/project/gos20/Gos141/Gos141.s348.mp3,ja ja ja,PART PART PART,3,0,1,ja,ja,PART,root,responsive,0,0,ok,
Gos153,Gos153.s27,Af-mode-01010,"preverjeno , [name:personal] ?",https://nl.ijs.si/project/gos20/Gos153/Gos153.s27.mp3,preverjeno [name:personal],ADJ PROPN,Gos153.s28,Tf-mode-01013,dobro .,https://nl.ijs.si/project/gos20/Gos153/Gos153.s28.mp3,dobro,ADV,1,0,1,dobro,dobro,ADV,root,responsive,1,1,a_is_question; a_continues,
Gos153,Gos153.s30,Af-mode-01010,ne še .,https://nl.ijs.si/project/gos20/Gos153/Gos153.s30.mp3,ne še,PART PART,Gos153.s31,Tf-mode-01013,"mh , ja , hm .",https://nl.ijs.si/project/gos20/Gos153/Gos153.s31.mp3,mh ja hm,INTJ PART INTJ,3,0,0,mh,mh,INTJ,discourse:filler,continuer,0,1,not_all_in_lexicon; a_continues,
Gos153,Gos153.s34,Zf-mode-01014,"eem , jaz se bolj osredotočam na tele mariborske žurke , ker počasi bo Cvičkarija , pa Lampijončki se tudi bližajo .",https://nl.ijs.si/project/gos20/Gos153/Gos153.s34.mp3,eem jaz se bolj osredotočam na tele mariborske žurke ker počasi bo Cvičkarija pa Lampijončki se tudi bližajo,INTJ PRON PRON ADV VERB ADP DET ADJ NOUN SCONJ ADV VERB NOUN CCONJ NOUN PRON PART VERB,Gos153.s35,Af-mode-01010,"aja , točno .",https://nl.ijs.si/project/gos20/Gos153/Gos153.s35.mp3,aja točno,INTJ ADV,2,0,0,aja,aja,INTJ,discourse,responsive,0,0,not_all_in_lexicon,
Gos153,Gos153.s35,Af-mode-01010,"aja , točno .",https://nl.ijs.si/project/gos20/Gos153/Gos153.s35.mp3,aja točno,INTJ ADV,Gos153.s36,Tf-mode-01013,"ja , ja , pa moraš malo dohajati , a ne da ?",https://nl.ijs.si/project/gos20/Gos153/Gos153.s36.mp3,ja ja pa moraš malo dohajati a ne da,PART PART CCONJ VERB DET VERB ADV PART SCONJ,9,0,0,ja,ja,PART,discourse,responsive,0,0,not_all_in_lexicon,
Gos155,Gos155.s89,Bm-posl-10506,"pa to za vajudva tudi pa što , tako , koga po- , eee , me pozna , pa to .",https://nl.ijs.si/project/gos20/Gos155/Gos155.s89.mp3,pa to za vajudva tudi pa što tako koga po- eee me pozna pa to,CCONJ DET ADP PRON PART CCONJ PRON ADV PRON X INTJ PRON VERB CCONJ DET,Gos155.s90,Pm-mode-10504,aha .,https://nl.ijs.si/project/gos20/Gos155/Gos155.s90.mp3,aha,INTJ,1,0,1,aha,aha,INTJ,root,responsive,0,0,ok,
Gos155,Gos155.s91,Pm-mode-10504,"evo , zgučano .",https://nl.ijs.si/project/gos20/Gos155/Gos155.s91.mp3,evo zgučano,PART ADJ,Gos155.s92,Bm-posl-10506,ja .,https://nl.ijs.si/project/gos20/Gos155/Gos155.s92.mp3,ja,PART,1,0,1,ja,ja,PART,root,responsive,0,1,a_continues,
Gos155,Gos155.s100,Pm-mode-10504,halo ?,https://nl.ijs.si/project/gos20/Gos155/Gos155.s100.mp3,halo,NOUN,Gos155.s101,Ff-posl-10507,"ja , dober večer .",https://nl.ijs.si/project/gos20/Gos155/Gos155.s101.mp3,ja dober večer,PART ADJ NOUN,3,0,0,ja,ja,PART,discourse,responsive,1,1,a_is_question; not_all_in_lexicon; a_continues,
Gos155,Gos155.s103,Ff-posl-10507,"pozdravljeni , [name:personal] .",https://nl.ijs.si/project/gos20/Gos155/Gos155.s103.mp3,pozdravljeni [name:personal],ADJ PROPN,Gos155.s104,Pm-mode-10504,kako je zdaj z vami ?,https://nl.ijs.si/project/gos20/Gos155/Gos155.s104.mp3,kako je zdaj z vami,ADV AUX ADV ADP PRON,5,0,0,kako,kako,ADV,root,surprise,0,1,not_all_in_lexicon; a_continues,
Gos155,Gos155.s104,Pm-mode-10504,kako je zdaj z vami ?,https://nl.ijs.si/project/gos20/Gos155/Gos155.s104.mp3,kako je zdaj z vami,ADV AUX ADV ADP PRON,Gos155.s105,Ff-posl-10507,v redu .,https://nl.ijs.si/project/gos20/Gos155/Gos155.s105.mp3,v redu,ADP NOUN,2,0,1,v,v,ADP,case,multiword_starter,1,1,a_is_question; a_continues,
Gos155,Gos155.s107,Pm-mode-10504,"ne , ja , kaj pa je te , ja , kaj pa more , more , saj to , eee , vse hudo mine , ne , eee , ja .",https://nl.ijs.si/project/gos20/Gos155/Gos155.s107.mp3,ne ja kaj pa je te ja kaj pa more more saj to eee vse hudo mine ne eee ja,PART PART PRON CCONJ VERB ADV PART PRON CCONJ VERB VERB CCONJ DET INTJ DET ADJ VERB PART INTJ PART,Gos155.s108,Ff-posl-10507,"ja , hvala bogu , enkrat po dolgem času , ne , ja .",https://nl.ijs.si/project/gos20/Gos155/Gos155.s108.mp3,ja hvala bogu enkrat po dolgem času ne ja,PART NOUN NOUN ADV ADP ADJ NOUN PART PART,9,0,0,ja,ja,PART,discourse,responsive,0,1,not_all_in_lexicon; a_continues,
Gos155,Gos155.s110,Ff-posl-10507,"eee , jaz bi imela od Davorja Borna .",https://nl.ijs.si/project/gos20/Gos155/Gos155.s110.mp3,eee jaz bi imela od Davorja Borna,INTJ PRON AUX VERB ADP PROPN PROPN,Gos155.s111,Pm-mode-10504,aha .,https://nl.ijs.si/project/gos20/Gos155/Gos155.s111.mp3,aha,INTJ,1,0,1,aha,aha,INTJ,root,responsive,0,1,a_continues,
Gos176,Gos176.s765,Bf-udel-02285,točno .,https://nl.ijs.si/project/gos20/Gos176/Gos176.s765.mp3,točno,ADV,Gos176.s766,Am-udel-02284,ja .,https://nl.ijs.si/project/gos20/Gos176/Gos176.s766.mp3,ja,PART,1,0,1,ja,ja,PART,root,responsive,0,0,ok,
Gos176,Gos176.s766,Am-udel-02284,ja .,https://nl.ijs.si/project/gos20/Gos176/Gos176.s766.mp3,ja,PART,Gos176.s768,Ff-udel-02289,prav .,https://nl.ijs.si/project/gos20/Gos176/Gos176.s768.mp3,prav,PART,1,0,1,prav,prav,PART,root,responsive,0,1,a_continues,
Gos176,Gos176.s768,Ff-udel-02289,prav .,https://nl.ijs.si/project/gos20/Gos176/Gos176.s768.mp3,prav,PART,Gos176.s769,Am-udel-02284,"okej , samo nekaj sem hotel vprašati .",https://nl.ijs.si/project/gos20/Gos176/Gos176.s769.mp3,okej samo nekaj sem hotel vprašati,ADV PART DET AUX VERB VERB,6,0,0,okej,okej,ADV,discourse,responsive,0,0,not_all_in_lexicon,
Gos176,Gos176.s778,Ff-udel-02289,relativno pozno .,https://nl.ijs.si/project/gos20/Gos176/Gos176.s778.mp3,relativno pozno,ADV ADV,Gos176.s780,Ef-udel-02288,"mhm , mhm .",https://nl.ijs.si/project/gos20/Gos176/Gos176.s780.mp3,mhm mhm,INTJ INTJ,2,0,1,mhm,mhm,INTJ,root,continuer,0,1,a_continues,
Gos176,Gos176.s785,Jf-udel-02293,"je to torek in sreda , oprosti .",https://nl.ijs.si/project/gos20/Gos176/Gos176.s785.mp3,je to torek in sreda oprosti,AUX DET NOUN CCONJ NOUN VERB,Gos176.s786,Df-udel-02287,"ne , kaj je takrat sploh junijsko izobraževanje .",https://nl.ijs.si/project/gos20/Gos176/Gos176.s786.mp3,ne kaj je takrat sploh junijsko izobraževanje,PART PRON VERB ADV PART ADJ NOUN,7,0,0,ne,ne,PART,discourse,surprise,0,0,not_all_in_lexicon,
Gos176,Gos176.s790,Hm-udel-02291,"tule nisem čisto prepričan , ampak mislim , da so že nekaj tudi takrat takoj snovali , samo kaj , pa ne vem , ne , tako da bi bilo treba malo preveriti , ne .",https://nl.ijs.si/project/gos20/Gos176/Gos176.s790.mp3,tule nisem čisto prepričan ampak mislim da so že nekaj tudi takrat takoj snovali samo kaj pa ne vem ne tako da bi bilo treba malo preveriti ne,ADV AUX ADV ADJ CCONJ VERB SCONJ AUX PART DET PART ADV ADV VERB PART PRON CCONJ PART VERB PART CCONJ SCONJ AUX VERB ADV DET VERB PART,Gos176.s791,Ef-udel-02288,"ja , ja , ja .",https://nl.ijs.si/project/gos20/Gos176/Gos176.s791.mp3,ja ja ja,PART PART PART,3,0,1,ja,ja,PART,root,responsive,0,0,ok,
Gos176,Gos176.s794,Am-udel-02284,"skupno , ampak dvojno , malo nekaj pride od [name:personal] , nekaj pa od siceršnjega izobraževanja , ali kako ?",https://nl.ijs.si/project/gos20/Gos176/Gos176.s794.mp3,skupno ampak dvojno malo nekaj pride od [name:personal] nekaj pa od siceršnjega izobraževanja ali kako,ADJ CCONJ ADJ DET DET VERB ADP PROPN DET CCONJ ADP ADJ NOUN CCONJ ADV,Gos176.s795,Ff-udel-02289,"ja , nekaj od siceršnjega izobraževanja , nekaj pač , eee , centrovi tako sodelavci , a ne .",https://nl.ijs.si/project/gos20/Gos176/Gos176.s795.mp3,ja nekaj od siceršnjega izobraževanja nekaj pač eee centrovi tako sodelavci a ne,PART DET ADP ADJ NOUN DET PART INTJ ADJ ADV NOUN ADV PART,13,0,0,ja,ja,PART,discourse,responsive,1,0,a_is_question; not_all_in_lexicon,
Gos176,Gos176.s797,Am-udel-02284,"pa lani so , lani bilo samo en dan , ampak to izjemoma , ne , mhm .",https://nl.ijs.si/project/gos20/Gos176/Gos176.s797.mp3,pa lani so lani bilo samo en dan ampak to izjemoma ne mhm,CCONJ ADV AUX ADV VERB PART NUM NOUN CCONJ DET ADV PART INTJ,Gos176.s798,Hm-udel-02291,"ja , mhm .",https://nl.ijs.si/project/gos20/Gos176/Gos176.s798.mp3,ja mhm,PART INTJ,2,0,1,ja,ja,PART,root,responsive,0,0,ok,
Gos184,Gos184.s154,Mf-soro-00808,"na Facebook , ja .",https://nl.ijs.si/project/gos20/Gos184/Gos184.s154.mp3,na Facebook ja,ADP NOUN PART,Gos184.s155,Gm-soro-00806,ja .,https://nl.ijs.si/project/gos20/Gos184/Gos184.s155.mp3,ja,PART,1,0,1,ja,ja,PART,root,responsive,0,1,a_continues,
Gos184,Gos184.s157,Mf-soro-00808,ker ima dosti ljudi Facebook .,https://nl.ijs.si/project/gos20/Gos184/Gos184.s157.mp3,ker ima dosti ljudi Facebook,SCONJ VERB DET NOUN NOUN,Gos184.s158,Jm-soro-00807,mhm .,https://nl.ijs.si/project/gos20/Gos184/Gos184.s158.mp3,mhm,INTJ,1,0,1,mhm,mhm,INTJ,root,continuer,0,1,a_continues,
Gos184,Gos184.s159,Mf-soro-00808,"in sem gledala , gor so ribiške družine .",https://nl.ijs.si/project/gos20/Gos184/Gos184.s159.mp3,in sem gledala gor so ribiške družine,CCONJ AUX VERB ADV VERB ADJ NOUN,Gos184.s160,Jm-soro-00807,ja .,https://nl.ijs.si/project/gos20/Gos184/Gos184.s160.mp3,ja,PART,1,0,1,ja,ja,PART,root,responsive,0,1,a_continues,
Gos184,Gos184.s161,Mf-soro-00808,lovske družine .,https://nl.ijs.si/project/gos20/Gos184/Gos184.s161.mp3,lovske družine,ADJ NOUN,Gos184.s162,Jm-soro-00807,mhm .,https://nl.ijs.si/project/gos20/Gos184/Gos184.s162.mp3,mhm,INTJ,1,0,1,mhm,mhm,INTJ,root,continuer,0,1,a_continues,
Gos184,Gos184.s164,Mf-soro-00808,"pa kake popuste jim daješ , pa tako .",https://nl.ijs.si/project/gos20/Gos184/Gos184.s164.mp3,pa kake popuste jim daješ pa tako,CCONJ DET NOUN PRON VERB CCONJ ADV,Gos184.s165,Gm-soro-00806,"mmm , to bi bilo zelo zanimivo .",https://nl.ijs.si/project/gos20/Gos184/Gos184.s165.mp3,mmm to bi bilo zelo zanimivo,INTJ DET AUX AUX ADV ADJ,6,0,0,mmm,mmm,INTJ,discourse,continuer,0,1,not_all_in_lexicon; a_continues,
Gos184,Gos184.s165,Gm-soro-00806,"mmm , to bi bilo zelo zanimivo .",https://nl.ijs.si/project/gos20/Gos184/Gos184.s165.mp3,mmm to bi bilo zelo zanimivo,INTJ DET AUX AUX ADV ADJ,Gos184.s166,Mf-soro-00808,"ja , kaj , če se ti spla- , splača spletna stran pa spletna trgovina , se ti bo in Facebook .",https://nl.ijs.si/project/gos20/Gos184/Gos184.s166.mp3,ja kaj če se ti spla- splača spletna stran pa spletna trgovina se ti bo in Facebook,PART PRON SCONJ PRON PRON X VERB ADJ NOUN CCONJ ADJ NOUN PRON PRON VERB CCONJ NOUN,17,0,0,ja,ja,PART,discourse,responsive,0,1,not_all_in_lexicon; a_continues,
Gos192,Gos192.s70,Cf-stra-07534,"samo barva , ne .",https://nl.ijs.si/project/gos20/Gos192/Gos192.s70.mp3,samo barva ne,PART NOUN PART,Gos192.s71,Am-prod-02325,"ja , to pa bova z- .",https://nl.ijs.si/project/gos20/Gos192/Gos192.s71.mp3,ja to pa bova z-,PART DET CCONJ VERB X,5,0,0,ja,ja,PART,discourse,responsive,0,0,not_all_in_lexicon,
Gos192,Gos192.s72,Am-prod-02325,"ravno , ne , vav , kam pa greš ?",https://nl.ijs.si/project/gos20/Gos192/Gos192.s72.mp3,ravno ne vav kam pa greš,ADV PART INTJ ADV CCONJ VERB,Gos192.s73,Cf-stra-07534,"ja , saj ta vikend grem jaz na morje , ne , že petek , sobota , nedelja , na hitrico , ne .",https://nl.ijs.si/project/gos20/Gos192/Gos192.s73.mp3,ja saj ta vikend grem jaz na morje ne že petek sobota nedelja na hitrico ne,PART CCONJ DET NOUN VERB PRON ADP NOUN PART PART NOUN NOUN NOUN ADP NOUN PART,16,0,0,ja,ja,PART,discourse,responsive,1,0,a_is_question; not_all_in_lexicon,
Gos192,Gos192.s76,Am-prod-02325,"sem ti rekel , da sem jaz živel na slovenski obali , ne ?",https://nl.ijs.si/project/gos20/Gos192/Gos192.s76.mp3,sem ti rekel da sem jaz živel na slovenski obali ne,AUX PRON VERB SCONJ AUX PRON VERB ADP ADJ NOUN PART,Gos192.s77,Cf-stra-07534,"ne , res ?",https://nl.ijs.si/project/gos20/Gos192/Gos192.s77.mp3,ne res,PART ADV,2,0,1,ne,ne,PART,discourse,surprise,1,1,a_is_question; a_continues,
Gos192,Gos192.s77,Cf-stra-07534,"ne , res ?",https://nl.ijs.si/project/gos20/Gos192/Gos192.s77.mp3,ne res,PART ADV,Gos192.s78,Am-prod-02325,"ne , ja .",https://nl.ijs.si/project/gos20/Gos192/Gos192.s78.mp3,ne ja,PART PART,2,0,1,ne,ne,PART,root,surprise,1,1,a_is_question; a_continues,
Gos192,Gos192.s81,Cf-stra-07534,"daj , nehaj .",https://nl.ijs.si/project/gos20/Gos192/Gos192.s81.mp3,daj nehaj,VERB VERB,Gos192.s82,Am-prod-02325,"ja , samo ko bo pač pravi čas za to , ne .",https://nl.ijs.si/project/gos20/Gos192/Gos192.s82.mp3,ja samo ko bo pač pravi čas za to ne,PART PART SCONJ AUX PART ADJ NOUN ADP DET PART,10,0,0,ja,ja,PART,discourse,responsive,0,1,not_all_in_lexicon; a_continues,
Gos192,Gos192.s83,Cf-stra-07534,"najbolj pozitiven tak del Slovenije se mi zdi , morje , ja , širina .",https://nl.ijs.si/project/gos20/Gos192/Gos192.s83.mp3,najbolj pozitiven tak del Slovenije se mi zdi morje ja širina,ADV ADJ DET NOUN PROPN PRON PRON VERB NOUN PART NOUN,Gos192.s84,Am-prod-02325,"ja , najbolj , dobro , tudi Kras je blizu , kar je tudi super , eee , pa veš , tam se ti odpre nekaj , česar , mislim , širina , ja , v bistvu .",https://nl.ijs.si/project/gos20/Gos192/Gos192.s84.mp3,ja najbolj dobro tudi Kras je blizu kar je tudi super eee pa veš tam se ti odpre nekaj česar mislim širina ja v bistvu,PART ADV ADV PART PROPN VERB ADV PRON AUX PART ADJ INTJ CCONJ VERB ADV PRON PRON VERB DET PRON VERB NOUN PART ADP NOUN,25,0,0,ja,ja,PART,discourse,responsive,0,0,not_all_in_lexicon,
Gos192,Gos192.s84,Am-prod-02325,"ja , najbolj , dobro , tudi Kras je blizu , kar je tudi super , eee , pa veš , tam se ti odpre nekaj , česar , mislim , širina , ja , v bistvu .",https://nl.ijs.si/project/gos20/Gos192/Gos192.s84.mp3,ja najbolj dobro tudi Kras je blizu kar je tudi super eee pa veš tam se ti odpre nekaj česar mislim širina ja v bistvu,PART ADV ADV PART PROPN VERB ADV PRON AUX PART ADJ INTJ CCONJ VERB ADV PRON PRON VERB DET PRON VERB NOUN PART ADP NOUN,Gos192.s85,Bf-stra-02326,ja .,https://nl.ijs.si/project/gos20/Gos192/Gos192.s85.mp3,ja,PART,1,0,1,ja,ja,PART,root,responsive,0,0,ok,
